municipio;grafia_original;grafia_adotada;freq_original;freq_adotada;regra
Sapucaia do Sul;CRNTRO;CENTRO;1;11;grafia
Tangará da Serra;ZONA RUARAL;ZONA RURAL;1;7;grafia
Teofilândia;CENTRP;CENTRO;1;7;grafia
Londrina;VIL IPIRANGA;VILA IPIRANGA;1;8;grafia
Bonito;ZONA RUAL;ZONA RURAL;1;6;grafia
São João da Boa Vista;VIL CONRADO;VILA CONRADO;1;13;grafia
Arroio do Meio;CCENTRO;CENTRO;1;16;grafia
Missão Velha;CENRO;CENTRO;1;11;grafia
Divino;GIVIZIEZ;GIVISIEZ;1;9;grafia
Teutônia;CANABARO;CANABARRO;1;12;grafia
Tuparetama;CENRO;CENTRO;1;9;grafia
São Sebastião;TOOPOLANDIA;TOPOLANDIA;1;10;grafia
Niquelândia;BEL HORIZONTE;BELO HORIZONTE;1;6;grafia
Santo Estêvão;ZONA RUARAL;ZONA RURAL;1;10;grafia
Nova Resende;CENTRP;CENTRO;1;5;grafia
Delmiro Gouveia;ELDORDO;ELDORADO;1;9;grafia
Delmiro Gouveia;ELDORODO;ELDORADO;1;9;grafia
Iraquara;CEBTRO;CENTRO;1;7;grafia
Paulo Ramos;ENTRO;CENTRO;1;9;grafia
Andorinha;RONA RURAL;ZONA RURAL;1;5;grafia
Portel;ZONA RUAL;ZONA RURAL;1;7;grafia
Taperoá;CEBTRO;CENTRO;1;9;grafia
Lima Campos;ZONA RUARAL;ZONA RURAL;1;9;grafia
Angelim;CENRO;CENTRO;1;10;grafia
Muaná;ZONA RUAL;ZONA RURAL;1;11;grafia
Machados;CRNTRO;CENTRO;1;10;grafia
Jatobá;CENRO;CENTRO;1;7;grafia
São Felipe;BENTRO;CENTRO;1;6;grafia
Nova Floresta;CEBTRO;CENTRO;1;7;grafia
